hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
26872141,Taste Hotel Dresden,Dresden,51.059653,13.679143,Ringhotels,124,4
27173321,Romantik Hotel Schweizerhof,Grindelwald,46.625560,8.031861,Romantik Hotels,70,5
27226741,Promotel Carros,Carros,43.767953,7.203800,,84,3
27336121,Dorsett Shepherds Bush,London,51.503915,-0.224383,Dorsett Hotels & Resorts,317,4
27768981,Wellness Hotel Jean De Carro,Karlovy Vary,50.223502,12.884967,,30,4.0
28410061,Spa Hotel Vita,Ceské Budejovice,48.980858,14.472779,,75,4
29152901,Appart'hôtel Odalys City - Dijon Centre Les Cordeliers,Dijon,47.318342,5.040223,Odalys,74,4.0
29188261,Aquatis Hotel,Lausanne,46.541011,6.658181,,143,4
29429541,AMERON Davos Swiss Mountain Resort,Davos,46.802470,9.832069,,148,4.5
30260128,LCB Hotel Fuenlabrada,Fuenlabrada,40.283014,-3.800922,,132,4
30265820,Clarion Hotel Helsinki,Helsinki,60.160056,24.921462,Nordic Hotels,425,4.5
30298740,Scandic Meilahti Helsinki,Helsinki,60.190725,24.911668,Scandic Hotels,188,4
30306141,Park Inn by Radisson Brussels Airport,Diegem,50.882786,4.448568,Park Inn,162,4.0
30321854,Hard Rock Hotel Davos,Davos,46.797134,9.822987,Hard Rock Hotels,80,4.5
30348359,Seiler au Lac,Interlaken,46.688659,7.897582,,42,4
30359300,X Hotel,Lillestrom,59.984670,10.973662,,432,3
30392210,Hôtel Mercure Paris Gennevilliers,Gennevilliers,48.941826,2.305012,Mercure,144,4
30393486,Holiday Inn Express London Heathrow T4 by IHG,Hounslow,51.459071,-0.443305,Holiday Inn Express,457,3
30525689,Atrium Hotel Heathrow,Feltham,51.466610,-0.420610,,570,4
30528663,Holiday Inn Express Luzern - Kriens by IHG,Kriens,47.113726,8.233762,Holiday Inn Express,160,3.0
30531988,Santa's Hotel Rakka,Kilpisjärvi,69.018170,20.875250,,22,4
30562802,Northern Lights Village Levi,Kittila,67.915216,24.554345,,40,4
30712050,Hotel Silberhorn,Lauterbrunnen,46.598550,7.906280,,30,3
30774880,De France by Thermalhotels,Leukerbad,46.378910,7.629730,,45,4
30800138,Lindstrøm Hotel,LAERDAL,61.097700,7.480800,,86,4
30834970,IntercityHotel Graz,Graz,47.070903,15.418337,IntercityHotels,229,4
30842976,ARCOTEL HafenCity Dresden,Dresden,51.068628,13.730920,,183,4.5
